0.9143, 0.8857, 0.9706, 0.8235, 0.9118, 0.8529, 0.9118, 0.8529, 0.8235, 0.8824, 0.9429, 0.9143, 0.9706, 0.9118, 0.8529, 0.9118, 0.8824, 0.9118, 0.8824, 0.8824, 0.9143, 0.8857, 0.8529, 0.9412, 0.9118, 0.8529, 0.8824, 0.8824, 0.9118, 0.9118, 0.9143, 0.9429, 0.8824, 0.8529, 0.8529, 0.8824, 0.8235, 0.8529, 0.8235, 0.9412, 0.9714, 1.0000, 0.9412, 0.8824, 0.8824, 0.9118, 0.9118, 0.8235, 0.9118, 0.8235
0.8571, 0.9143, 0.8235, 0.8529, 0.9706, 0.9118, 0.8824, 0.9412, 0.8529, 0.8529, 0.8571, 0.8857, 0.8529, 0.9412, 0.8824, 0.7941, 0.8235, 0.8529, 0.8824, 0.8235, 0.9429, 0.8571, 0.8529, 0.9412, 0.8824, 0.9412, 0.8529, 0.8824, 0.8235, 0.8529, 0.8286, 0.9429, 0.8235, 0.8235, 0.8529, 0.9412, 0.8529, 0.9118, 0.7941, 0.9412, 0.8857, 0.9143, 0.9412, 0.9118, 0.9412, 0.8235, 0.8824, 0.7647, 0.8529, 0.8824
0.8857, 0.9143, 0.9118, 0.8824, 0.9412, 0.9118, 0.7941, 0.8824, 0.9118, 0.8529, 0.8286, 0.5429, 0.9706, 0.9706, 0.8824, 0.8235, 0.8529, 0.9118, 0.8824, 0.8235, 0.8857, 0.8286, 0.8529, 0.9118, 0.9118, 0.9412, 0.9118, 0.9118, 0.8824, 0.7647, 0.7429, 0.9143, 0.9412, 0.7941, 1.0000, 0.9118, 0.8235, 1.0000, 0.9706, 0.8824, 0.8571, 0.7714, 0.9118, 0.8529, 0.7941, 0.9706, 0.8529, 0.7941, 0.8235, 0.9412
0.8286, 0.9143, 0.9118, 0.8529, 0.9412, 0.8824, 0.8529, 0.8235, 0.8824, 0.8824, 0.9143, 0.9429, 0.8235, 0.8824, 0.9118, 0.8824, 0.9412, 0.9118, 0.9118, 0.8529, 0.8571, 0.8571, 0.8529, 0.8824, 0.8529, 0.9706, 0.8529, 0.9706, 0.8824, 0.7647, 0.7714, 0.9714, 0.8824, 0.8824, 0.8235, 0.8529, 0.7647, 0.9412, 0.8529, 0.9118, 0.9143, 0.8857, 0.8235, 0.8529, 0.8824, 0.9118, 0.9412, 0.8529, 0.9118, 0.8824
0.8286, 0.9429, 0.8529, 0.8529, 0.8824, 0.8235, 0.8235, 0.8824, 0.8529, 0.8529, 0.8857, 0.8286, 0.9412, 0.9118, 0.8824, 0.8824, 0.9118, 0.9412, 0.9118, 0.7941, 0.8857, 0.8286, 0.9118, 0.8824, 0.8824, 0.9412, 0.8824, 0.8824, 0.8529, 0.7941, 0.8857, 0.8857, 0.8529, 0.7647, 0.8824, 0.9118, 0.8235, 0.9118, 0.8235, 0.9706, 0.8571, 0.9714, 0.8235, 0.8824, 0.9118, 0.9412, 0.9412, 0.7941, 0.8235, 0.7647
0.8000, 0.9714, 0.9412, 0.9412, 0.9118, 0.8529, 0.9412, 0.8824, 0.9118, 0.8235, 0.8857, 0.7714, 0.9118, 0.9706, 0.9118, 0.8824, 0.9118, 0.9412, 0.8824, 0.8235, 0.8857, 0.8571, 0.9118, 0.9118, 0.8235, 0.9412, 0.7941, 0.8235, 0.9118, 0.7941, 0.8571, 0.9714, 0.8529, 0.7941, 1.0000, 0.7941, 0.8529, 0.7941, 0.9412, 0.8824, 1.0000, 0.8286, 0.9412, 0.9412, 0.8824, 0.9118, 0.9412, 0.6765, 0.8824, 0.8235
0.7429, 0.9143, 0.8235, 0.7941, 0.8824, 0.9118, 0.8824, 0.9118, 0.8824, 0.8529, 0.8857, 0.8286, 0.8529, 0.9412, 0.9412, 0.8235, 0.7647, 0.8235, 0.8824, 0.7353, 0.7143, 0.8286, 0.7941, 0.9118, 0.8824, 0.9118, 0.8235, 0.8824, 0.8824, 0.8824, 0.8286, 0.8571, 0.8235, 0.7941, 0.8824, 0.8824, 0.7647, 0.8824, 0.7941, 0.8824, 0.8857, 0.8286, 0.9412, 0.8529, 0.8235, 0.8824, 0.9412, 0.7647, 0.8235, 0.8529
0.8857, 0.9143, 0.9118, 0.7941, 0.9706, 0.7941, 0.7941, 0.8529, 0.9706, 0.8235, 0.8857, 0.8571, 0.9412, 0.8824, 0.9118, 0.8235, 0.8529, 0.7941, 0.9118, 0.7647, 0.7429, 0.8857, 0.8529, 0.9118, 0.9118, 0.9412, 0.8824, 0.9412, 0.8824, 0.8824, 0.8571, 0.9714, 0.9118, 0.8235, 0.9706, 0.8529, 0.8529, 0.9412, 0.9118, 0.8235, 0.9143, 0.8857, 0.9118, 0.9118, 0.8824, 0.9118, 0.9118, 0.7353, 0.8235, 0.9118
0.8286, 0.9714, 0.9118, 0.8824, 0.9412, 0.8824, 0.8235, 0.8235, 0.7941, 0.7353, 0.9714, 0.8857, 0.9412, 0.8824, 0.8824, 0.9118, 0.8824, 0.8824, 0.9412, 0.9412, 0.8000, 0.9143, 0.9706, 0.9412, 0.9706, 0.8824, 0.9118, 0.9412, 0.8235, 0.8529, 0.8857, 0.8286, 0.8529, 0.7647, 0.9706, 0.8235, 0.8529, 0.8824, 0.9706, 0.9706, 0.8857, 0.7714, 0.9412, 0.8529, 0.9706, 0.8824, 0.9412, 0.7353, 0.9706, 0.9706
0.7714, 1.0000, 0.9118, 0.8824, 0.8529, 0.9412, 0.8529, 0.8824, 0.8235, 0.8824, 0.9143, 0.8571, 0.9118, 0.9412, 0.8824, 0.8529, 0.9118, 0.9412, 0.8824, 0.8529, 0.8571, 0.8571, 0.9118, 0.9412, 0.8529, 0.9118, 0.9118, 0.9412, 0.8235, 0.9412, 0.8857, 0.9429, 0.8235, 0.8824, 0.9118, 0.9412, 0.8824, 1.0000, 0.8529, 0.8235, 0.8857, 0.9429, 0.9706, 0.8235, 0.8235, 0.9706, 0.9706, 0.8824, 0.9118, 0.8529
