0.5143, 0.4571, 0.4118, 0.6176, 0.5294, 0.5294, 0.4706, 0.4412, 0.7059, 0.4412
0.9143, 0.6857, 0.6765, 0.7059, 0.7941, 0.8529, 0.7647, 0.7353, 0.8235, 0.7353
0.7714, 0.7429, 0.7941, 0.7941, 0.6765, 0.7059, 0.7941, 0.6765, 0.7941, 0.6471
0.5143, 0.4571, 0.4118, 0.6176, 0.5294, 0.5294, 0.4706, 0.4412, 0.7059, 0.4412
0.4857, 0.5429, 0.4706, 0.6176, 0.5000, 0.4412, 0.5000, 0.3824, 0.6765, 0.4706
0.4857, 0.5429, 0.4706, 0.6176, 0.5000, 0.4706, 0.5000, 0.3824, 0.6765, 0.4706
0.6571, 0.2857, 0.4412, 0.5000, 0.6176, 0.5000, 0.5294, 0.4412, 0.6765, 0.4706
0.5714, 0.4286, 0.5294, 0.4412, 0.5588, 0.5000, 0.5588, 0.3824, 0.6765, 0.4706
0.6571, 0.2857, 0.4412, 0.5294, 0.6765, 0.5294, 0.5588, 0.4412, 0.6765, 0.5294
0.5143, 0.4571, 0.4118, 0.6176, 0.5294, 0.5294, 0.4706, 0.4412, 0.7059, 0.4412
0.6571, 0.2857, 0.4412, 0.5000, 0.6176, 0.5000, 0.5294, 0.4412, 0.6765, 0.4706
0.5143, 0.4571, 0.4118, 0.6176, 0.5294, 0.5294, 0.4706, 0.4412, 0.7059, 0.4412
0.5143, 0.4571, 0.4118, 0.6176, 0.5294, 0.5294, 0.4706, 0.4412, 0.7059, 0.4412
0.5714, 0.4286, 0.5882, 0.4412, 0.5588, 0.4706, 0.5882, 0.3824, 0.3235, 0.4706
0.5143, 0.5143, 0.5000, 0.6176, 0.4706, 0.4412, 0.5588, 0.3235, 0.6765, 0.5294
0.6571, 0.2857, 0.4412, 0.5000, 0.6176, 0.5000, 0.4412, 0.3235, 0.6765, 0.4706
0.6571, 0.2857, 0.4412, 0.5000, 0.6176, 0.5000, 0.5294, 0.4412, 0.6765, 0.4706
